_,station,arr,dep,dwell,runtime,train
1,珠海长隆,-,08:00,0,00:00,C 7768
2,横琴,08:04,08:05,1,00:04,C 7768
3,横琴北,08:09,08:10,1,00:09,C 7768
4,十字门,08:14,08:15,1,00:14,C 7768
5,湾仔北,08:19,08:20,1,00:19,C 7768
6,珠海,08:27,-,0,00:27,C 7768
1,珠海,-,07:56,0,00:00,C 7751
2,湾仔北,08:03,08:04,1,00:07,C 7751
3,十字门,08:09,08:10,1,00:13,C 7751
4,横琴北,08:14,08:15,1,00:18,C 7751
5,横琴,08:19,08:20,1,00:23,C 7751
6,珠海长隆,08:27,-,0,00:31,C 7751
1,珠海长隆,-,08:42,0,00:00,C 7752
2,横琴,08:46,08:47,1,00:04,C 7752
3,横琴北,08:51,08:52,1,00:09,C 7752
4,十字门,08:56,08:57,1,00:14,C 7752
5,湾仔北,09:01,09:02,1,00:19,C 7752
6,珠海,09:10,-,0,00:28,C 7752
1,珠海,-,08:42,0,00:00,C 7769
2,湾仔北,08:47,08:48,1,00:05,C 7769
3,十字门,08:52,08:53,1,00:10,C 7769
4,横琴北,08:57,08:58,1,00:15,C 7769
5,横琴,09:03,09:04,1,00:21,C 7769
6,珠海长隆,09:10,-,0,00:28,C 7769
1,珠海长隆,-,09:25,0,00:00,C 7770
2,横琴,09:29,09:30,1,00:04,C 7770
3,横琴北,09:34,09:35,1,00:09,C 7770
4,十字门,09:39,09:40,1,00:14,C 7770
5,湾仔北,09:44,09:45,1,00:19,C 7770
6,珠海,09:53,-,0,00:28,C 7770
1,珠海,-,09:25,0,00:00,C 7753
2,湾仔北,09:30,09:31,1,00:05,C 7753
3,十字门,09:35,09:36,1,00:10,C 7753
4,横琴北,09:40,09:41,1,00:15,C 7753
5,横琴,09:46,09:47,1,00:21,C 7753
6,珠海长隆,09:53,-,0,00:28,C 7753
1,珠海长隆,-,10:08,0,00:00,C 7754
2,横琴,10:13,10:14,1,00:05,C 7754
3,横琴北,10:18,10:19,1,00:10,C 7754
4,十字门,10:23,10:24,1,00:15,C 7754
5,湾仔北,10:28,10:29,1,00:20,C 7754
6,珠海,10:36,-,0,00:28,C 7754
1,珠海,-,10:08,0,00:00,C 7771
2,湾仔北,10:13,10:14,1,00:05,C 7771
